seccion_nro,seccion_name,circuito_nro,circuito_name,establecimiento,cant_mesas,desde,hasta,electores
1,CAPITAL,1,SECCIONAL PRIMERA,CENTRO EDUC.NIVEL MEDIO ADULTO DEAN FUNES 417,7,1,7,2408
1,CAPITAL,1,SECCIONAL PRIMERA,ESC NUESTRA SEÑORA DEL HUERTO BELGRANO 269,12,8,19,4128
1,CAPITAL,1,SECCIONAL PRIMERA,COL NAC DE MONSERRAT OBISPO TREJO 294,17,20,36,5840
1,CAPITAL,1,SECCIONAL PRIMERA,ESC SANTA TERESA DE JESUS OBISPO TREJO Y SANABRIA 160,10,37,46,3430
1,CAPITAL,2,SECCIONAL SEGUNDA,ESC JUAN BAUTISTA ALBERDI GRAL PAZ 486,17,47,63,5850
1,CAPITAL,3,SECCIONAL TERCERA,ESC JERONIMO LUIS DE CABRERA SANTA ROSA 650,15,64,78,5145
1,CAPITAL,3,SECCIONAL TERCERA,IPEM N° 270 GRAL M BELGRANO DEAN FUNES 850,11,79,89,3773
1,CAPITAL,3,SECCIONAL TERCERA,ESC SANTO TOMAS CASEROS 745,8,90,97,2744
1,CAPITAL,3,SECCIONAL TERCERA,ESC NORMAL ALEJANDRO CARBO AV COLON 951,10,98,107,3430
1,CAPITAL,3,SECCIONAL TERCERA,ESC MARIANO MORENO SANTA ROSA ESQ SANTA FE,14,108,121,4791
1,CAPITAL,4,NUEVA CORDOBA,ENET N° 3 LEOPOLDO LUGONES ITUZAINGO 483,10,122,131,3408
1,CAPITAL,4,NUEVA CORDOBA,COL NACIONAL DEAN FUNES PERU 10,16,132,147,5440
1,CAPITAL,4,NUEVA CORDOBA,ESC GDOR ALVAREZ C ARENAL 699 B°R MARTINEZ,9,148,156,3060
1,CAPITAL,4,NUEVA CORDOBA,FAC DE CIENCIAS ECONOMICAS AV VALPARAISO CDAD UNIVERSITARIA,16,157,172,5440
1,CAPITAL,4,NUEVA CORDOBA,IPEM 38 FRANC. PABLO DE MAURO PAUNERO Y ARENAL,7,173,179,2380
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC ERNESTO BANCALARI MONTERROSO 4597 B° ARTIGAS,7,180,186,2415
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC ALMAFUERTE CHANETON 390 B° SAN FERNANDO,7,187,193,2415
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC COM R ECHEGOYEN J I DIAZ 200 B° EJERCITO ARGENTINO,8,194,201,2760
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC SAN FRANCISCO DE ASIS GUARDADO 184 B°LAS FLORES,28,202,229,9650
1,CAPITAL,4B,VILLA REVOL,INST EDUC NTRA SEÑORA INCA MANCO 3450 - B°JARDIN ESPINOSA,22,230,251,7590
1,CAPITAL,4B,VILLA REVOL,ESC ING MASJOAN P.L.DE CABRERA ESQ.TANTI B°V. REVOL,10,252,261,3450
1,CAPITAL,4B,VILLA REVOL,COL NICOLAS BERROTARAN ELIAS YOFRE 1095 - B° JARDIN,13,262,274,4478
1,CAPITAL,4C,INAUDI,ESC L SUAREZ DE FIGUEROA DEFENSA S/N° LA HUERTILLA,5,275,279,1635
1,CAPITAL,4C,INAUDI,ESC SAN JOSE DE CALASANZ PIZARRO ESQ. NIVOLI,7,280,286,2287
1,CAPITAL,4D,VILLA EUCARISTICA,COL VILLA EUCARISTICA CNO A SAN CARLOS KM.5 1/2,5,287,291,1451
1,CAPITAL,4E,NUESTRO HOGAR III,ESC.SABIN DDE.CMO.S.ANTONIO KM 7 1/2.1KM.AL O.,5,292,296,1512
1,CAPITAL,4F,CIUDAD OBISPO ANGELELLI,NSC.OSCAR RAUL MALVASIO MANZANA 49 B° C.OBISPO ANGELELLI,6,297,302,1735
1,CAPITAL,5,ALTAMIRA,ESC ESPAÑA M BRAVO Y ENTRE RIOS,15,303,317,5055
1,CAPITAL,5,ALTAMIRA,ESC PANAMERICANA SOTO 919 - B°ACOSTA,8,318,325,2696
1,CAPITAL,5,ALTAMIRA,ESC ESTANISLAO DEL CAMPO ESTADOS UNIDOS Y RIO 1° B°ALTAMIRA,6,326,331,2016
1,CAPITAL,5,ALTAMIRA,ESC M FRAGUEIRO ENTRE RIOS 3373 B°PQUE SAN VICENTE,11,332,342,3696
1,CAPITAL,5A,COLONIA LOLA,ESC MUNICIPAL A GASTALDI S JERONIMO 5500/ALMAGRO COL LOLA,6,343,348,2040
1,CAPITAL,5A,COLONIA LOLA,ELENA LOPEZ LALLANA AGUSTIN GARZON 5.600,9,349,357,3057
1,CAPITAL,5B,DEAN FUNES,ESC 9 DE JULIO JOSE A CABRERA 4717 B°DEAN FUNES,6,358,363,1905
1,CAPITAL,5C,EMPALME,ESC PROVINCIA DE LA RIOJA JUNIN 3480 B°EMPALME,13,364,376,4472
1,CAPITAL,5C,EMPALME,ESC VICTOR MERCANTE CAUCETE 4008 B°EMPALME,12,377,388,4126
1,CAPITAL,5C,EMPALME,ESC JUAN M DE PUEYRREDON ANCASTI 4555 B°EMPALME,8,389,396,2744
1,CAPITAL,5C,EMPALME,INST SEC EMPALME GONZALEZ LACA LAS ARRIAS 4043 B°EMPALME,5,397,401,1715
1,CAPITAL,5C,EMPALME,FRAY JUSTO STA MARÍA DE ORO CALLAO 2.320,12,402,413,4116
1,CAPITAL,5D,MALDONADO,ESC CANONIGO PIÑERO CAMPO LA RIBERA,6,414,419,2028
1,CAPITAL,5D,MALDONADO,ESC MARTIN DE GÜEMES OBPO CASTELLANOS 256 B°MÜLLER,8,420,427,2701
1,CAPITAL,5D,MALDONADO,BAC TEC DR F ESCARDO CAMPO LA RIBERA,8,428,435,2696
1,CAPITAL,5D,MALDONADO,IPEM 184-M.FRAGUEIRO OB.CASTELLANO 955.S.VICENTE,8,436,443,2696
1,CAPITAL,5E,VILLA BUSTOS,ESC TTE GRAL P RICCHIERI BENJAMIN VIEL 2387 - B°V BUSTOS,8,444,451,2675
1,CAPITAL,5E,VILLA BUSTOS,IPEM 136 DR ALFREDO PALACIOS CALINGASTA 5800 (ESQ TULUMBA),5,452,456,1670
1,CAPITAL,5F,RENACIMIENTO,ESC M COOPERATIVISMO ARGENTINO M BRAVO Y PJE.MATHEUB° RENACIMIENTO,12,457,468,4087
1,CAPITAL,5G,SAN VICENTE,ESC DGO F SARMIENTO LOPEZ Y PLANES 2253 B°SAN VICENTE,13,478,490,4394
1,CAPITAL,5G,SAN VICENTE,ESC SANTA MARGARITA DE CORTONA LOPEZ Y PLANES 2936 B°SAN VICENTE,9,469,477,3044
1,CAPITAL,5G,SAN VICENTE,ESC PTE RIVADAVIA AGUSTIN GARZON 1563 B°SAN VICENTE,11,491,501,3718
1,CAPITAL,5G,SAN VICENTE,ESC MARIA IGNACIA NAVARRO DE L CORRIENTES 2006 B°SAN VICENTE,9,502,510,3042
1,CAPITAL,5G,SAN VICENTE,ESC A F AVALOS SARGENTO CABRAL 1153 B°SAN VICENTE,7,511,517,2366
1,CAPITAL,5H,VILLA BOEDO,ESC. MADRE MARIA DEL TRANSITO MANZANA 7. B° VILLA BOEDO,5,518,522,1527
