seccion_nro,seccion_name,circuito_nro,circuito_name,escuela,cant_mesas,desde,hasta,tipo_mesas,electores
1,Capital,1,SECCIONAL PRIMERA,"ESC NUESTRA SEÑORA DEL HUERTO - CALLE BELGRANO 269,CENTRO - CORDOBA",8,1,8,Mixto,2748
1,Capital,1,SECCIONAL PRIMERA,"ESC NACIONAL DE MONSERRAT - OBISPO TREJO 294,CENTRO - CORDOBA",9,9,17,Mixto,3101
1,Capital,1,SECCIONAL PRIMERA,"ESC SANTA TERESA DE JESUS - CALLE OBISPO TREJO Y SANABRIA 160,CAPITAL - CORDOBA",8,18,25,Mixto,2750
1,Capital,1,SECCIONAL PRIMERA,"INST INMACULADO CORAZON DE MARIA - CALLE ROSARIO DE SANTA FE 540,CAPITAL - CORDOBA",9,26,34,Mixto,3086
1,Capital,1,SECCIONAL PRIMERA,"INST SEC MONSEÑOR DE ANDREA - VELEZ SARSFIELD 232,CENTRO - CORDOBA",4,35,38,Mixto,1374
1,Capital,1,SECCIONAL PRIMERA,ESC    SAN JOSE - INDEPENDENCIA 302 - CORDOBA,8,39,46,Mixto,2746
1,Capital,1,SECCIONAL PRIMERA,"ESC NACIONAL DE MONSERRAT - OBISPO TREJO 294,CENTRO - CORDOBA",3,9058,9060,Ext Mixto,1006
1,Capital,2,SECCIONAL SEGUNDA,"ESC JUAN BAUTISTA ALBERDI - GENERAL PAZ 488,CENTRO - CORDOBA",6,47,52,Mixto,2072
1,Capital,2,SECCIONAL SEGUNDA,"ESC DE LA SAGRADA FAMILIA - TUCUMAN 550,CENTRO - CORDOBA",6,53,58,Mixto,2069
1,Capital,2,SECCIONAL SEGUNDA,"ESC SANTA INFANCIA - RIVADAVIA 725,CENTRO - CORDOBA",6,59,64,Mixto,2066
1,Capital,3,SECCIONAL TERCERA,"IPEM N°138 JERONIMO LUIS DE CABRERA - SANTA ROSA 650,ALBERDI - CORDOBA",9,65,73,Mixto,3147
1,Capital,3,SECCIONAL TERCERA,"IPEM N° 270 GRAL M BELGRANO - DEAN FUNES 850,ALBERDI - CORDOBA",8,74,81,Mixto,2797
1,Capital,3,SECCIONAL TERCERA,"ESC SANTO TOMAS - CASEROS 745,ALBERDI - CORDOBA",8,82,89,Mixto,2795
1,Capital,3,SECCIONAL TERCERA,ESC NORMAL ALEJANDRO CARBO - AV COLON 951 - CORDOBA,8,90,97,Mixto,2794
1,Capital,3,SECCIONAL TERCERA,"ESC MARIANO MORENO - SANTA ROSA ESQ SANTA FE 1299,CAPITAL - CORDOBA",9,98,106,Mixto,3144
1,Capital,3,SECCIONAL TERCERA,"ESC SALESIANO PIO X - 9 DE JULIO 1008,CAPITAL - CORDOBA",8,107,114,Mixto,2791
1,Capital,3,SECCIONAL TERCERA,"IPET N° 247 ING CARLOS CASSAFFOUSTH - DEAN FUNES 1509,CAPITAL - CORDOBA",8,115,122,Mixto,2790
1,Capital,4,NUEVA CORDOBA,"INST SUPERIOR ALBERTO LEGUIZAMON - CONCEPCION ARENAL 1177,NUEVA CORDOBA - CORDOBA",8,123,130,Mixto,2802
